p,instanceCount
http://dbpedia.org/property/locationCity,29095
http://dbpedia.org/ontology/sisterStation,29001
http://dbpedia.org/property/seat,28700
http://dbpedia.org/ontology/officialSchoolColour,28639
http://dbpedia.org/property/honorificSuffix,28614
http://dbpedia.org/ontology/numberOfStudents,28529
http://dbpedia.org/property/opponent,28504
http://dbpedia.org/property/votes%25_,28454
http://dbpedia.org/ontology/builder,28123
http://dbpedia.org/ontology/place,28073
http://dbpedia.org/property/a,27958
http://dbpedia.org/property/creator,27894
http://dbpedia.org/property/borough,27846
http://dbpedia.org/ontology/manager,27690
http://dbpedia.org/property/exit,27636
http://dbpedia.org/property/counties,27621
http://dbpedia.org/ontology/draftYear,27445
http://dbpedia.org/property/column,27440
http://dbpedia.org/ontology/background,27359
http://dbpedia.org/property/governmentType,27283
http://dbpedia.org/ontology/Infrastructure/length,27151
http://dbpedia.org/property/electionDate,27134
http://dbpedia.org/property/pop,27117
http://dbpedia.org/property/aux,27113
http://dbpedia.org/property/airdate,27111
http://dbpedia.org/ontology/instrument,27097
http://dbpedia.org/property/batAvg,27061
http://dbpedia.org/property/weightLb,27032
http://dbpedia.org/property/m,27014
http://dbpedia.org/property/typeSpecies,26978
http://dbpedia.org/property/competition,26973
http://dbpedia.org/property/l,26941
http://dbpedia.org/property/electionName,26903
http://dbpedia.org/ontology/startDate,26889
http://dbpedia.org/property/nextElection,26822
http://dbpedia.org/property/award,26776
http://dbpedia.org/property/value,26741
http://dbpedia.org/property/editor,26703
http://dbpedia.org/property/highlights,26509
http://dbpedia.org/ontology/religion,26401
http://dbpedia.org/property/lastElection,26319
http://dbpedia.org/property/topScore,26301
http://dbpedia.org/property/float,26223
http://dbpedia.org/property/km,26167
http://dbpedia.org/ontology/year,26088
http://dbpedia.org/property/catches/stumpings,26056
http://dbpedia.org/property/composer,26046
http://dbpedia.org/property/con,25990
http://dbpedia.org/property/subject,25962
http://dbpedia.org/property/appearances,25950
http://dbpedia.org/property/alias,25814
http://dbpedia.org/property/subordo,25772
http://dbpedia.org/property/genusAuthority,25528
http://dbpedia.org/property/numEpisodes,25515
http://dbpedia.org/property/previousElection,25458
http://dbpedia.org/ontology/editing,25432
http://dbpedia.org/property/colors,25407
http://dbpedia.org/ontology/album,25382
http://dbpedia.org/property/unit,25347
http://dbpedia.org/property/isbn,25268
http://dbpedia.org/property/hcYear,25194
http://dbpedia.org/ontology/developer,25129
